,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,classifier
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,LRC
mean,0.7182332201454504,0.7264445378778969,0.7099298406542353,0.7071621621621621,0.7071621621621621,0.7041983960335544,0.707001642736979,LRC
std,0.046873445364912475,0.04608366041416367,0.04789681580664778,0.04786639408900127,0.04786639408900127,0.0490754294798163,0.04783591179163661,LRC
min,0.6171310629514964,0.6253033218977491,0.6114217443249701,0.6216216216216216,0.6216216216216216,0.6083505866114564,0.6236220692742431,LRC
25%,0.6844005260380277,0.6886801027426026,0.6734043097267735,0.6756756756756757,0.6756756756756757,0.663684842019393,0.667345433533836,LRC
50%,0.7102313119515045,0.7287598762930831,0.7022299922299922,0.7027027027027027,0.7027027027027027,0.697879057776418,0.7008876174289709,LRC
75%,0.753027421474448,0.7582067234698814,0.7478684423985966,0.7432432432432432,0.7432432432432432,0.7419144795268598,0.7422222494588007,LRC
max,0.8401805166511048,0.8351692028162616,0.8261904761904763,0.8243243243243243,0.8243243243243243,0.824458293222543,0.8248795991614049,LRC
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,RFC
mean,0.7040802238405243,0.7160946674368631,0.6333523284685777,0.6214864864864864,0.6214864864864864,0.616925346609143,0.6153295288890682,RFC
std,0.051505596102426374,0.05272833877746899,0.06404023080633456,0.07645591978278722,0.07645591978278722,0.07900944489068698,0.08156296107246873,RFC
min,0.5380197322057787,0.5325695674532884,0.4693486590038314,0.3918918918918919,0.3918918918918919,0.38639360340874396,0.3776394918272196,RFC
25%,0.6732155312717973,0.6876793121722127,0.592921781451727,0.581081081081081,0.581081081081081,0.5681844620361949,0.5666796180494811,RFC
50%,0.7076664649528652,0.7171135961080317,0.6327684875510963,0.6216216216216216,0.6216216216216216,0.6195549871918684,0.6171672868552927,RFC
75%,0.7343622259383129,0.7500924932376546,0.6734800362976406,0.6756756756756757,0.6756756756756757,0.6664373238946922,0.6706834343585081,RFC
max,0.8338001867413632,0.8499137435307649,0.7807017543859649,0.7702702702702703,0.7702702702702703,0.76917338884552,0.7741601085863382,RFC
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,SGDC
mean,0.7289511120684377,0.738224763751424,0.7173420939547731,0.7122972972972974,0.7122972972972974,0.7105482799939454,0.7129053087368908,SGDC
std,0.04566429458773747,0.045425156478623954,0.04734247590779986,0.04939276064880024,0.04939276064880024,0.04955286632903501,0.04896506944182219,SGDC
min,0.6421095008051529,0.644029899464682,0.6273357228195938,0.6216216216216216,0.6216216216216216,0.6211412369307107,0.6303884645901063,SGDC
25%,0.6957436762583822,0.7026004017636878,0.6777777777777778,0.6756756756756757,0.6756756756756757,0.6724644708845483,0.6764284178077281,SGDC
50%,0.7263811114385827,0.7409935857516503,0.7157221790555124,0.7027027027027027,0.7027027027027027,0.7027195585686152,0.7061372003232469,SGDC
75%,0.7608617131062951,0.7740815758550313,0.7457215836526182,0.7432432432432432,0.7432432432432432,0.7426251559990161,0.7437100708377304,SGDC
max,0.8604166666666666,0.8580236486486488,0.8447349310094409,0.8378378378378378,0.8378378378378378,0.8375904640272456,0.8377601739670706,SGDC
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,LSVC
mean,0.7315212148763577,0.7396893268674867,0.7253292563954301,0.7221621621621621,0.7221621621621621,0.7193162637502631,0.7219552714198407,LSVC
std,0.04556351156590902,0.0458187131702884,0.04567866346305024,0.04582937147202086,0.04582937147202086,0.046885333396642276,0.04626312263384848,LSVC
min,0.6388888888888888,0.6487669487669488,0.642591533180778,0.6351351351351351,0.6351351351351351,0.6316298877274487,0.6324434190287849,LSVC
25%,0.7025808799800504,0.7043489115758481,0.6881070318570319,0.6891891891891891,0.6891891891891891,0.6848185412545685,0.6876567736114692,LSVC
50%,0.7235963627875392,0.7408609712653831,0.7183481336254949,0.7162162162162162,0.7162162162162162,0.713821482911327,0.7158905632309889,LSVC
75%,0.7605681737053551,0.7707097938952778,0.7577513624140311,0.7567567567567568,0.7567567567567568,0.7544038845060894,0.7560519820029805,LSVC
max,0.883982683982684,0.8779220779220778,0.8469538378958669,0.8513513513513513,0.8513513513513513,0.8522889529970569,0.8512438480967198,LSVC
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,MNB
mean,0.7117345288188797,0.7242314399542955,0.7098753504131031,0.700135135135135,0.700135135135135,0.6979041842882673,0.6994024787479478,MNB
std,0.045824441342901534,0.045287843887576285,0.04600202461882485,0.0486552836194938,0.0486552836194938,0.0487138562060203,0.0485694630172929,MNB
min,0.5841595680305357,0.6020712794906343,0.59168458781362,0.5675675675675675,0.5675675675675675,0.5673469387755102,0.5667953667953668,MNB
25%,0.6852242664742665,0.6965971247221246,0.6833208569092272,0.6756756756756757,0.6756756756756757,0.6717148769170332,0.6688552306487089,MNB
50%,0.716001221001221,0.729974669629842,0.7132034632034632,0.7027027027027027,0.7027027027027027,0.6999736184270007,0.7003538125118672,MNB
75%,0.7343809131089832,0.7505100688924218,0.7324454565901933,0.7297297297297297,0.7297297297297297,0.7266673697843172,0.7290735261022147,MNB
max,0.8269901905300886,0.8270014255771377,0.8247619047619047,0.8243243243243243,0.8243243243243243,0.8229325732125284,0.8239666419957574,MNB
